path,owner,classification,notes
.assetsignore,Platform/App Shell,Entry/Deploy,"Global entry, service worker or deployment configuration"
00_UNBEDINGT_IMMER_LESEN_PLACES_ARCHITEKTUR.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
APPLE-HEALTH-SCHRITTE.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
ARCHITECTURE-AI-MEMORY-BRIDGE-v13.28.2.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
ARCHITECTURE-MEDIA-READINESS-v13.27.5.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
ARCHITECTURE-PRODUCT-FOCUS-v13.25.0.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
ARCHITECTURE-SMART-PHOTO-FOUNDATION-v13.28.0.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
ARCHITECTURE-v10.0.0.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
AUDIO-LIZENZ.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
AUDIT-EVENTS-REQUESTS-v13.27.5.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
AUDIT-LEGACY-PATHS-v13.27.5.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
AUDIT-v11.5.1.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
BOOKING-CONTACT-RESOLVER-DEPLOY.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
BOOKING-CORE-PRODUCTION-DEPLOY.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
BOOKING-PROVIDER-CAPABILITY-STATUS-SMOKE.sql,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
BOOKING-PROVIDER-ROUTING-V1-DEPLOY.md,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.0.4.2.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.0.4.5.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.0.4.6.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.0.4.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.1.2.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.2.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.1.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.10.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.11.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.12.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.13.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.2.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.3.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.4.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.5.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.6.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
CHANGED-FILES-v13.1.3.7.txt,Documentation/Release History,Documentation,Historical release/test/deployment artifact unless specifically scoped
