table,owner,status,evidence_scope
accommodations,Places,legacy/extension,migration-created
ai_action_proposals,Intelligence,canonical/transitional,migration-created
ai_evidence_records,Intelligence,canonical/transitional,migration-created
ai_interaction_events,Intelligence,canonical/transitional,migration-created
ai_learning_signals,Intelligence,canonical/transitional,migration-created
ai_orchestration_runs,Intelligence,canonical/transitional,migration-created
ai_usage,Intelligence,canonical/transitional,migration-created
ai_usage_events,Intelligence,canonical/transitional,migration-created
automation_jobs,Intelligence,canonical/transitional,migration-created
automation_steps,Intelligence,canonical/transitional,migration-created
booking_affiliate_attributions,Booking,canonical,migration-created
booking_affiliate_clicks,Booking,canonical,migration-created
booking_affiliate_conversions,Booking,canonical,migration-created
booking_affiliate_links,Booking,canonical,migration-created
booking_affiliate_partners,Booking,canonical,migration-created
booking_attribution_events_v2,Booking,canonical,migration-created
booking_audit_log,Booking,canonical,migration-created
booking_availability_requests,Booking,canonical,migration-created
booking_availability_snapshots,Booking,canonical,migration-created
booking_channel_resolutions,Booking,canonical,migration-created
booking_commercial_events,Booking,canonical,migration-created
booking_commission_reconciliations,Booking,canonical,migration-created
booking_commission_state_events,Booking,canonical,migration-created
booking_contact_candidates,Booking,canonical,migration-created
booking_conversation_preferences,Booking,canonical,migration-created
booking_conversion_reports,Booking,canonical,migration-created
booking_correlations,Booking,canonical,migration-created
booking_dead_letters,Booking,canonical,migration-created
booking_discovery_runs,Booking,canonical,migration-created
booking_email_delivery_events,Booking,canonical,migration-created
booking_email_requests,Booking,canonical,migration-created
booking_email_threads,Booking,canonical,migration-created
booking_events,Booking,canonical,migration-created
booking_handoff_events,Booking,canonical,migration-created
booking_health_checks,Booking,canonical,migration-created
booking_message_intelligence,Booking,canonical,migration-created
booking_messages,Booking,canonical,migration-created
booking_monetization_profiles,Booking,canonical,migration-created
booking_offers,Booking,canonical,migration-created
booking_profiles,Booking,canonical,migration-created
booking_provider_activation_controls,Booking,canonical,migration-created
booking_provider_activation_runs,Booking,canonical,migration-created
booking_provider_admin_actions,Booking,canonical,migration-created
booking_provider_capabilities,Booking,canonical,migration-created
booking_provider_connection_events,Booking,canonical,migration-created
booking_provider_connections,Booking,canonical,migration-created
booking_provider_links,Booking,canonical,migration-created
booking_provider_operation_contracts,Booking,canonical,migration-created
booking_provider_probe_runs,Booking,canonical,migration-created
booking_provider_references,Booking,canonical,migration-created
booking_provider_status_contracts,Booking,canonical,migration-created
booking_provider_status_receipts,Booking,canonical,migration-created
booking_reconciliation_issues,Booking,canonical,migration-created
booking_reconciliation_runs,Booking,canonical,migration-created
