core,owner_stream,canonical_truth,public_boundary,consumer_use,forbidden_productization_shortcut,m16_5_role,next_owner_milestone
Platform Runtime,feature/platform-core,"runtime/navigation/lifecycle/module orchestration; no Domain Truth","navigation.v1; runtime signals; platform ports","Route and lifecycle orchestration","Putting feature truth into App Shell or relying on structural DOM as a command","Keep stable while vertical slices adopt accepted design","Post-slice release/provenance only"
Experience,feature/experience-core,"tokens/components/motion/accessibility semantics; no Domain Truth",experience.v1,"Accepted visual and interaction primitives","Letting visual state become Trip/Places/Booking/Identity truth","Binding M16.5 design projection and shared semantics","Complete parity/Design Freeze"
Consumer,feature/consumer-experience,"product composition and ephemeral presentation state only","consumer composition contracts","Compose owner projections into end-to-end outcomes","Private owner stores/DB writes or parallel domain models","Primary productization lane","Every M16.5 vertical slice"
Identity,feature/identity-core,"viewer identity/auth context/explicit preferences/consent/global Reisekompass",identity.v1,"Auth handoff Profile onboarding and settings","Second login/session store; copying Trip or membership truth","Landing/Auth and Profile onboarding owner","Identity/Profile Golden Slice"
Trip,feature/trip-core,"Trip lifecycle/active Trip/context/Trip commands",trip.v1,"First-Trip creation and active-Trip composition","Creating Trip truth inside onboarding UI or Identity","First-Trip Composer and Trip context","First-Trip Golden Slice"
Places,feature/places-core,"Place lifecycle/discovery/place commands/provider projections",places.v1,"Search/map/detail/save/plan composition","Consumer-side copied Place truth or coordinate fabrication","Places continuity then Golden Slice","Complete Places Experience audit"
Booking,feature/booking-core,"Booking/provider/reservation/status/recovery truth",booking.v1,"Discovery/handoff/status/Trip projection","UI-owned reservation status or unverified provider success","Booking Golden Slice","Complete accepted-design Booking migration"
Journey,feature/journey-core,"derived Day Graph/order/conflict/provenance",journey.v1,"Today/Reise day composition","Treating legacy Places timeline provider as Places truth","Journey/Trip composition slice","Complete day/provenance experience parity"
Media,feature/media-core,"media assets/acquisition/storage/transfer lifecycle",media.v1,"Capture/gallery asset projections","Treating albums/stories as Media truth or faking upload success","Capture/acquisition slice","Complete acquisition/offline/retry parity"
Memory,feature/memory-core,"albums/cards/stories/chapters/curation/narrative lifecycle",memory.v1,"Memories/gallery/story composition using Media IDs","Copying Media assets or Trip/Journey truth","Memories Golden Slice","Complete accepted-design Memories migration"
Intelligence,feature/intelligence-core,"reasoning/tools/evidence/action ledger/Intelligence-specific state",intelligence.v1; intelligence.actions.v1,"Contextual assistance and owner-command proposals","Direct foreign DB/store writes or autonomous authority","Retain existing bounded assistant during M16.5","M18.8 Product Evolution II"
Collaboration,feature/collaboration-core,"trip/group membership/invitations/roles","membership contract/foundation","Participant and invite projections","Using Identity flags as membership/role truth","Only honest currently implemented projections","M18.1"
Attention,feature/attention-core,"notification intent/policy/inbox/delivery truth","attention contract/projections","Today/Inbox/contextual deep links","Consumer-owned delivery status or copied source-domain facts","Only honest currently implemented projections","M18.2"
Travel Wallet,feature/travel-wallet-core,"secure documents/versions/grants/verification truth",travel-wallet.documents.v1 planned,"Future contextual Wallet","Mock documents or client-only authorization","Reserved; not implemented in M16.5","M18.3"
Reviews,feature/reviews-core,"reviews/revisions/ratings/moderation/reputation truth",reviews.v1 planned,"Future contextual Place/Booking reviews","Copying provider reviews as Luvia truth","Reserved; not implemented in M16.5","M18.4"
Admin,feature/admin-core,"roles/grants/scopes/policies/approvals/break-glass/audit truth",admin governance contract planned,"Separate server-authorized Admin Experience","Client role flags or self-authorized UI","Reserved; not implemented in M16.5","M18.5"
Social,feature/social-experience-graph,"consented graph/relationship/Twin/Echo/Drop/Fork provenance truth",social experience graph contract planned,"Future contextual social intelligence","Feed/follower/like shadow system or copied foreign payloads","Reserved; not implemented in M16.5","M18.6"
Events,feature/events-core,"versioned event envelopes/causal metadata; no Domain Truth",events.v1,"Cross-owner event transport","Treating event log as canonical domain state","Support owner-backed slices without ownership transfer","As required by owner slices"
